# ID,Predicted
0, 0.37
1, 0.03
2, 0.38
3, 0.10
4, 0.99
5, 0.20
6, 0.59
7, 0.28
8, 0.40
9, 0.54
10, 0.64
11, 0.65
12, 0.32
13, 0.22
14, 1.00
15, 0.97
16, 0.98
17, 0.47
18, 0.48
19, 0.38
20, 0.22
21, 1.00
22, 0.33
23, 0.68
24, 0.56
25, 0.51
26, 0.82
27, 0.80
28, 0.64
29, 0.34
30, 0.38
31, 0.30
32, 0.56
33, 0.04
34, 0.57
35, 0.45
36, 0.35
37, 0.49
38, 0.89
39, 0.85
40, 0.24
41, 0.11
42, 0.41
43, 0.45
44, 0.62
45, 0.19
46, 0.44
47, 0.07
48, 0.39
49, 0.48
50, 0.18
51, 0.20
52, 0.06
53, 0.25
54, 0.55
55, 0.58
56, 0.22
57, 0.09
58, 0.11
59, 0.55
60, 0.57
61, 0.44
62, 0.48
63, 1.00
64, 0.96
65, 0.50
66, 0.55
67, 0.29
68, 0.06
69, 0.47
70, 0.51
71, 1.00
72, 0.83
73, 0.39
74, 0.05
75, 0.51
76, 0.37
77, 0.42
78, 0.47
79, 0.00
80, 0.54
81, 0.56
82, 0.77
83, 0.73
84, 0.56
85, 0.55
86, 0.42
87, 0.59
88, 0.53
89, 0.96
90, 0.17
91, 1.00
92, 0.65
93, 0.55
94, 1.00
95, 0.50
96, 0.12
97, 0.37
98, 0.99
99, 0.15
100, 0.70
101, 0.37
102, 0.27
103, 0.88
104, 0.35
105, 0.65
106, 0.57
107, 0.37
108, 0.49
109, 0.63
110, 0.04
111, 0.39
112, 0.60
113, 0.42
114, 0.50
115, 0.27
116, 0.26
117, 0.70
118, 0.27
119, 0.30
120, 0.32
121, 0.86
122, 0.51
123, 0.42
124, 0.26
125, 0.39
126, 0.32
127, 0.73
128, 0.72
129, 0.34
130, 0.02
131, 0.83
132, 0.19
133, 0.63
134, 0.34
135, 0.47
136, 0.20
137, 0.23
138, 0.38
139, 0.60
140, 0.45
141, 0.08
142, 0.59
143, 0.84
144, 1.00
145, 0.79
146, 0.31
147, 0.66
148, 0.62
149, 0.64
150, 0.39
151, 0.99
152, 0.04
153, 0.34
154, 0.56
155, 0.34
156, 0.16
157, 0.41
158, 0.63
159, 0.33
160, 0.58
161, 0.54
162, 0.95
163, 0.14
164, 0.71
165, 0.72
166, 0.29
167, 0.22
168, 1.00
169, 0.35
170, 0.09
171, 0.31
172, 0.93
173, 0.70
174, 0.35
175, 0.93
176, 0.23
177, 0.24
178, 0.63
179, 0.57
180, 0.48
181, 0.18
182, 0.88
183, 0.37
184, 0.21
185, 0.36
186, 0.42
187, 0.57
188, 0.84
189, 0.67
190, 0.76
191, 0.55
192, 0.69
193, 0.38
194, 0.35
195, 0.11
196, 0.71
197, 0.54
198, 0.26
199, 0.23
200, 0.70
201, 0.83
202, 0.35
203, 0.70
204, 0.60
205, 0.19
206, 0.07
207, 0.33
208, 0.95
209, 0.23
210, 0.54
211, 0.35
212, 0.57
213, 0.81
214, 0.37
215, 0.79
216, 0.51
217, 0.28
218, 0.55
219, 0.23
220, 0.40
221, 0.17
222, 0.02
223, 0.13
224, 0.42
225, 0.77
226, 0.26
227, 0.87
228, 0.64
229, 0.28
230, 0.07
231, 0.12
