# ID,Predicted
0, 0.41
1, 0.27
2, 0.57
3, 0.39
4, 0.90
5, 0.27
6, 0.63
7, 0.42
8, 0.51
9, 0.70
10, 0.53
11, 0.59
12, 0.48
13, 0.56
14, 0.88
15, 0.93
16, 0.90
17, 0.59
18, 0.59
19, 0.42
20, 0.50
21, 0.89
22, 0.52
23, 0.55
24, 0.54
25, 0.55
26, 0.61
27, 0.54
28, 0.56
29, 0.55
30, 0.53
31, 0.51
32, 0.55
33, 0.40
34, 0.64
35, 0.45
36, 0.49
37, 0.54
38, 0.54
39, 0.92
40, 0.58
41, 0.42
42, 0.56
43, 0.42
44, 0.89
45, 0.55
46, 0.57
47, 0.29
48, 0.47
49, 0.58
50, 0.34
51, 0.29
52, 0.21
53, 0.51
54, 0.46
55, 0.53
56, 0.51
57, 0.39
58, 0.34
59, 0.57
60, 0.61
61, 0.49
62, 0.27
63, 0.89
64, 0.92
65, 0.50
66, 0.70
67, 0.52
68, 0.22
69, 0.52
70, 0.62
71, 0.94
72, 0.86
73, 0.47
74, 0.21
75, 0.71
76, 0.54
77, 0.50
78, 0.53
79, 0.27
80, 0.57
81, 0.51
82, 0.52
83, 0.94
84, 0.60
85, 0.65
86, 0.57
87, 0.54
88, 0.49
89, 0.94
90, 0.52
91, 0.92
92, 0.56
93, 0.52
94, 0.91
95, 0.48
96, 0.33
97, 0.49
98, 0.93
99, 0.47
100, 0.55
101, 0.54
102, 0.22
103, 0.64
104, 0.61
105, 0.53
106, 0.49
107, 0.50
108, 0.50
109, 0.67
110, 0.25
111, 0.57
112, 0.45
113, 0.55
114, 0.52
115, 0.51
116, 0.59
117, 0.56
118, 0.22
119, 0.46
120, 0.26
121, 0.73
122, 0.50
123, 0.44
124, 0.50
125, 0.23
126, 0.67
127, 0.65
128, 0.59
129, 0.49
130, 0.26
131, 0.89
132, 0.30
133, 0.51
134, 0.54
135, 0.58
136, 0.33
137, 0.33
138, 0.53
139, 0.68
140, 0.53
141, 0.49
142, 0.55
143, 0.92
144, 0.93
145, 0.56
146, 0.54
147, 0.52
148, 0.52
149, 0.38
150, 0.40
151, 0.93
152, 0.25
153, 0.38
154, 0.54
155, 0.63
156, 0.30
157, 0.58
158, 0.56
159, 0.37
160, 0.56
161, 0.55
162, 0.72
163, 0.26
164, 0.54
165, 0.66
166, 0.32
167, 0.50
168, 0.93
169, 0.43
170, 0.45
171, 0.51
172, 0.74
173, 0.66
174, 0.42
175, 0.63
176, 0.35
177, 0.24
178, 0.57
179, 0.48
180, 0.48
181, 0.53
182, 0.87
183, 0.52
184, 0.37
185, 0.53
186, 0.55
187, 0.50
188, 0.64
189, 0.54
190, 0.63
191, 0.50
192, 0.53
193, 0.49
194, 0.41
195, 0.23
196, 0.58
197, 0.69
198, 0.26
199, 0.25
200, 0.50
201, 0.47
202, 0.49
203, 0.48
204, 0.68
205, 0.45
206, 0.25
207, 0.52
208, 0.92
209, 0.55
210, 0.47
211, 0.56
212, 0.48
213, 0.59
214, 0.44
215, 0.56
216, 0.56
217, 0.58
218, 0.49
219, 0.25
220, 0.25
221, 0.52
222, 0.33
223, 0.28
224, 0.51
225, 0.52
226, 0.49
227, 0.84
228, 0.62
229, 0.45
230, 0.27
231, 0.26
232, 0.53
233, 0.44
234, 0.32
235, 0.32
236, 0.55
237, 0.27
238, 0.57
239, 0.46
240, 0.45
241, 0.59
242, 0.24
243, 0.26
244, 0.51
245, 0.48
246, 0.57
247, 0.62
248, 0.51
249, 0.26
250, 0.92
251, 0.52
252, 0.54
253, 0.29
254, 0.49
255, 0.59
256, 0.57
257, 0.59
258, 0.63
259, 0.48
260, 0.24
261, 0.28
262, 0.30
263, 0.94
264, 0.54
265, 0.56
266, 0.47
267, 0.68
268, 0.50
269, 0.53
270, 0.55
271, 0.58
272, 0.47
273, 0.49
274, 0.60
275, 0.58
276, 0.48
277, 0.29
278, 0.70
279, 0.43
280, 0.93
281, 0.65
282, 0.94
283, 0.54
284, 0.62
285, 0.64
286, 0.53
287, 0.54
288, 0.93
289, 0.50
290, 0.55
291, 0.47
292, 0.91
293, 0.47
294, 0.29
295, 0.58
296, 0.26
297, 0.46
298, 0.38
299, 0.51
300, 0.48
301, 0.51
302, 0.41
303, 0.51
304, 0.53
305, 0.57
306, 0.54
307, 0.58
308, 0.53
309, 0.49
310, 0.56
311, 0.25
312, 0.94
313, 0.48
314, 0.53
315, 0.52
316, 0.53
317, 0.68
318, 0.44
319, 0.26
320, 0.36
321, 0.94
322, 0.30
323, 0.26
324, 0.64
325, 0.88
326, 0.63
327, 0.43
328, 0.47
329, 0.51
330, 0.30
331, 0.52
332, 0.25
333, 0.26
334, 0.93
335, 0.62
336, 0.44
337, 0.51
338, 0.54
339, 0.59
340, 0.54
341, 0.57
342, 0.47
343, 0.25
344, 0.92
345, 0.54
346, 0.31
347, 0.42
348, 0.47
349, 0.61
350, 0.89
351, 0.47
352, 0.61
353, 0.64
354, 0.55
355, 0.52
356, 0.45
357, 0.33
358, 0.50
359, 0.50
360, 0.49
361, 0.57
362, 0.52
363, 0.59
364, 0.57
365, 0.57
366, 0.58
367, 0.90
368, 0.51
369, 0.31
370, 0.47
371, 0.76
372, 0.47
373, 0.74
374, 0.89
375, 0.58
376, 0.55
377, 0.47
378, 0.54
379, 0.51
380, 0.54
381, 0.29
382, 0.27
383, 0.55
384, 0.53
385, 0.44
386, 0.29
387, 0.53
388, 0.64
389, 0.28
390, 0.92
391, 0.51
392, 0.58
393, 0.48
394, 0.58
395, 0.54
396, 0.56
397, 0.28
398, 0.51
399, 0.82
400, 0.55
401, 0.58
402, 0.60
403, 0.58
404, 0.36
405, 0.55
406, 0.32
407, 0.56
408, 0.56
409, 0.42
410, 0.28
411, 0.46
412, 0.52
413, 0.54
414, 0.24
415, 0.47
416, 0.47
417, 0.89
418, 0.53
419, 0.52
420, 0.59
421, 0.55
422, 0.51
423, 0.61
424, 0.94
425, 0.69
426, 0.55
427, 0.75
428, 0.94
429, 0.29
430, 0.51
431, 0.51
432, 0.56
433, 0.32
434, 0.94
435, 0.59
436, 0.60
437, 0.51
438, 0.54
439, 0.27
440, 0.91
441, 0.53
442, 0.37
443, 0.44
444, 0.59
445, 0.53
446, 0.54
447, 0.28
448, 0.51
449, 0.83
450, 0.55
451, 0.27
452, 0.63
453, 0.46
454, 0.45
455, 0.45
456, 0.47
457, 0.45
458, 0.59
459, 0.49
460, 0.65
461, 0.56
462, 0.56
463, 0.93
464, 0.90
465, 0.51
466, 0.55
467, 0.60
468, 0.92
469, 0.56
470, 0.49
471, 0.52
472, 0.40
473, 0.59
474, 0.87
475, 0.75
476, 0.95
477, 0.54
478, 0.28
479, 0.38
480, 0.49
481, 0.90
482, 0.94
483, 0.57
484, 0.33
485, 0.61
486, 0.40
487, 0.91
488, 0.47
489, 0.46
490, 0.37
491, 0.26
492, 0.50
493, 0.54
494, 0.47
495, 0.39
496, 0.33
497, 0.60
498, 0.82
499, 0.71
500, 0.86
501, 0.44
502, 0.26
503, 0.57
504, 0.57
505, 0.94
506, 0.62
507, 0.93
508, 0.54
509, 0.44
510, 0.60
511, 0.55
512, 0.46
513, 0.46
514, 0.48
515, 0.59
516, 0.36
517, 0.73
518, 0.43
519, 0.46
520, 0.30
521, 0.57
522, 0.28
523, 0.49
524, 0.57
525, 0.52
526, 0.48
527, 0.62
528, 0.56
529, 0.47
530, 0.54
531, 0.57
532, 0.49
533, 0.61
534, 0.45
535, 0.54
536, 0.45
537, 0.54
538, 0.54
539, 0.30
540, 0.93
541, 0.53
542, 0.56
543, 0.94
544, 0.53
545, 0.53
546, 0.92
547, 0.50
548, 0.45
549, 0.44
550, 0.42
551, 0.48
552, 0.93
553, 0.29
554, 0.60
555, 0.52
556, 0.26
557, 0.94
558, 0.63
559, 0.68
560, 0.53
561, 0.40
562, 0.70
563, 0.94
564, 0.47
565, 0.89
566, 0.50
567, 0.92
568, 0.47
569, 0.91
570, 0.55
571, 0.57
572, 0.58
573, 0.23
574, 0.55
575, 0.60
576, 0.63
577, 0.64
578, 0.56
579, 0.68
580, 0.51
581, 0.57
582, 0.45
583, 0.51
584, 0.42
585, 0.48
586, 0.31
587, 0.53
588, 0.30
589, 0.31
590, 0.48
591, 0.62
592, 0.57
593, 0.94
594, 0.59
595, 0.90
596, 0.48
597, 0.55
598, 0.59
599, 0.59
600, 0.62
601, 0.94
602, 0.71
603, 0.45
604, 0.60
605, 0.29
606, 0.40
607, 0.26
608, 0.94
609, 0.43
610, 0.55
611, 0.59
612, 0.46
613, 0.51
614, 0.60
615, 0.45
616, 0.44
617, 0.56
618, 0.40
619, 0.29
620, 0.53
621, 0.57
622, 0.54
623, 0.54
624, 0.44
625, 0.52
626, 0.43
627, 0.94
628, 0.52
629, 0.62
630, 0.50
631, 0.46
632, 0.30
633, 0.54
634, 0.88
635, 0.58
636, 0.96
637, 0.56
638, 0.36
639, 0.57
640, 0.45
641, 0.57
642, 0.54
643, 0.63
644, 0.53
645, 0.54
646, 0.44
647, 0.46
648, 0.93
649, 0.57
650, 0.45
651, 0.56
652, 0.68
653, 0.65
654, 0.90
655, 0.37
656, 0.60
657, 0.53
658, 0.28
659, 0.49
660, 0.93
661, 0.53
662, 0.58
663, 0.51
664, 0.42
665, 0.44
666, 0.50
667, 0.91
668, 0.57
669, 0.90
670, 0.50
671, 0.61
672, 0.95
673, 0.69
674, 0.54
675, 0.93
676, 0.27
677, 0.29
678, 0.26
679, 0.52
680, 0.94
681, 0.88
682, 0.53
683, 0.40
684, 0.61
685, 0.48
686, 0.55
687, 0.60
688, 0.41
689, 0.27
690, 0.66
691, 0.65
692, 0.59
693, 0.44
694, 0.67
695, 0.46
696, 0.61
697, 0.55
698, 0.43
699, 0.55
700, 0.41
701, 0.41
702, 0.51
703, 0.49
704, 0.40
705, 0.48
706, 0.39
707, 0.27
708, 0.45
709, 0.27
710, 0.92
711, 0.53
712, 0.59
713, 0.50
714, 0.56
715, 0.42
716, 0.31
717, 0.43
718, 0.48
